Year,Category,Nominee,Additional Info,Won?
2018,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Shailene Woodley,Big Little Lies,N
2018,Best Performance by an Actress in a Supporting Role in any Motion Picture,Allison Janney,"I, Tonya",W
2018,Best Performance by an Actress in a Supporting Role in any Motion Picture,Hong Chau,Downsizing,N
2018,Best Performance by an Actress in a Supporting Role in any Motion Picture,Laurie Metcalf,Lady Bird,N
2018,Best Performance by an Actress in a Supporting Role in any Motion Picture,Mary J. Blige,Mudbound,N
2018,Best Performance by an Actress in a Supporting Role in any Motion Picture,Octavia Spencer,The Shape of Water,N
2018,Best Performance by an Actress in a Television Series - Musical or Comedy,Rachel Brosnahan,The Marvelous Mrs. Maisel,W
2018,Best Performance by an Actress in a Television Series - Musical or Comedy,Alison Brie,GLOW,N
2018,Best Performance by an Actress in a Television Series - Musical or Comedy,Frankie Shaw,SMILF,N
2018,Best Performance by an Actress in a Television Series - Musical or Comedy,Issa Rae,Insecure,N
2018,Best Performance by an Actress in a Television Series - Musical or Comedy,Pamela Adlon,Better Things,N
2018,Best Screenplay - Motion Picture,Martin McDonagh,"Three Billboards Outside Ebbing, Missouri",W
2018,Best Screenplay - Motion Picture,Aaron Sorkin,Molly's Game,N
2018,Best Screenplay - Motion Picture,Greta Gerwig,Lady Bird,N
2018,Best Screenplay - Motion Picture,Guillermo del Toro,Vanessa Taylor,N
2018,Best Screenplay - Motion Picture,Liz Hannah,Josh Singer,N
2017,Best Director - Motion Picture,Damien Chazelle,La La Land,W
2017,Best Director - Motion Picture,Barry Jenkins,Moonlight,N
2017,Best Director - Motion Picture,Kenneth Lonergan,Manchester by the Sea,N
2017,Best Director - Motion Picture,Mel Gibson,Hacksaw Ridge,N
2017,Best Director - Motion Picture,Tom Ford,Nocturnal Animals,N
2017,Best Performance by an Actor In A Television Series - Drama,Billy Bob Thornton,Goliath,W
2017,Best Performance by an Actor In A Television Series - Drama,Bob Odenkirk,Better Call Saul,N
2017,Best Performance by an Actor In A Television Series - Drama,Liev Schreiber,Ray Donovan,N
2017,Best Performance by an Actor In A Television Series - Drama,Matthew Rhys,The Americans,N
2017,Best Performance by an Actor In A Television Series - Drama,Rami Malek,Mr. Robot,N
2017,Best Performance by an Actor in a Limited Series or a Motion Picture Made for Television,Tom Hiddleston,The Night Manager,W
2017,Best Performance by an Actor in a Limited Series or a Motion Picture Made for Television,Bryan Cranston,All the Way,N
2017,Best Performance by an Actor in a Limited Series or a Motion Picture Made for Television,Courtney B. Vance,The People v. O.J. Simpson: American Crime Story,N
2017,Best Performance by an Actor in a Limited Series or a Motion Picture Made for Television,John Turturro,The Night Of,N
2017,Best Performance by an Actor in a Limited Series or a Motion Picture Made for Television,Riz Ahmed,The Night Of,N
2017,Best Performance by an Actor in a Motion Picture - Drama,Casey Affleck,Manchester by the Sea,W
2017,Best Performance by an Actor in a Motion Picture - Drama,Andrew Garfield,Hacksaw Ridge,N
2017,Best Performance by an Actor in a Motion Picture - Drama,Denzel Washington,Fences,N
2017,Best Performance by an Actor in a Motion Picture - Drama,Joel Edgerton,Loving,N
2017,Best Performance by an Actor in a Motion Picture - Drama,Viggo Mortensen,Captain Fantastic,N
2017,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Ryan Gosling,La La Land,W
2017,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Colin Farrell,The Lobster,N
2017,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Hugh Grant,Florence Foster Jenkins,N
2017,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Jonah Hill,War Dogs,N
2017,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Ryan Reynolds,Deadpool,N
2017,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Hugh Laurie,The Night Manager,W
2017,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Christian Slater,Mr. Robot,N
2017,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",John Lithgow,The Crown,N
2017,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",John Travolta,The People v. O.J. Simpson: American Crime Story,N
2017,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Sterling K. Brown,The People v. O.J. Simpson: American Crime Story,N
2017,Best Performance by an Actor in a Supporting Role in any Motion Picture,Aaron Taylor-Johnson,Nocturnal Animals,W
2017,Best Performance by an Actor in a Supporting Role in any Motion Picture,Dev Patel,Lion,N
2017,Best Performance by an Actor in a Supporting Role in any Motion Picture,Jeff Bridges,Hell or High Water,N
2017,Best Performance by an Actor in a Supporting Role in any Motion Picture,Mahershala Ali,Moonlight,N
2017,Best Performance by an Actor in a Supporting Role in any Motion Picture,Simon Helberg,Florence Foster Jenkins,N
2017,Best Performance by an Actor in a Television Series - Musical or Comedy,Donald Glover,Atlanta,W
2017,Best Performance by an Actor in a Television Series - Musical or Comedy,Anthony Anderson,Black-ish,N
2017,Best Performance by an Actor in a Television Series - Musical or Comedy,Gael García Bernal,Mozart in the Jungle,N
2017,Best Performance by an Actor in a Television Series - Musical or Comedy,Jeffrey Tambor,Transparent,N
2017,Best Performance by an Actor in a Television Series - Musical or Comedy,Nick Nolte,Graves,N
2017,Best Performance by an Actress In A Television Series - Drama,Claire Foy,The Crown,W
2017,Best Performance by an Actress In A Television Series - Drama,Caitriona Balfe,Outlander,N
2017,Best Performance by an Actress In A Television Series - Drama,Evan Rachel Wood,Westworld,N
2017,Best Performance by an Actress In A Television Series - Drama,Keri Russell,The Americans,N
2017,Best Performance by an Actress In A Television Series - Drama,Winona Ryder,Stranger Things,N
2017,Best Performance by an Actress in a Limited Series or a Motion Picture Made for Television,Sarah Paulson,The People v. O.J. Simpson: American Crime Story,W
2017,Best Performance by an Actress in a Limited Series or a Motion Picture Made for Television,Charlotte Rampling,London Spy,N
2017,Best Performance by an Actress in a Limited Series or a Motion Picture Made for Television,Felicity Huffman,American Crime,N
2017,Best Performance by an Actress in a Limited Series or a Motion Picture Made for Television,Kerry Washington,Confirmation,N
2017,Best Performance by an Actress in a Limited Series or a Motion Picture Made for Television,Riley Keough,The Girlfriend Experience,N
2017,Best Performance by an Actress in a Motion Picture - Drama,Isabelle Huppert,Elle,W
2017,Best Performance by an Actress in a Motion Picture - Drama,Amy Adams,Arrival,N
2017,Best Performance by an Actress in a Motion Picture - Drama,Jessica Chastain,Miss Sloane,N
2017,Best Performance by an Actress in a Motion Picture - Drama,Natalie Portman,Jackie,N
2017,Best Performance by an Actress in a Motion Picture - Drama,Ruth Negga,Loving,N
2017,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Emma Stone,La La Land,W
2017,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Annette Bening,20th Century Women,N
2017,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Hailee Steinfeld,The Edge of Seventeen,N
2017,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Lily Collins,Rules Don't Apply,N
2017,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Meryl Streep,Florence Foster Jenkins,N
2017,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Olivia Colman,The Night Manager,W
2017,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Chrissy Metz,This Is Us,N
2017,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Lena Headey,Game of Thrones,N
2017,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Mandy Moore,This Is Us,N
2017,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Thandie Newton,Westworld,N
2017,Best Performance by an Actress in a Supporting Role in any Motion Picture,Viola Davis,Fences,W
2017,Best Performance by an Actress in a Supporting Role in any Motion Picture,Michelle Williams,Manchester by the Sea,N
2017,Best Performance by an Actress in a Supporting Role in any Motion Picture,Naomie Harris,Moonlight,N
2017,Best Performance by an Actress in a Supporting Role in any Motion Picture,Nicole Kidman,Lion,N
2017,Best Performance by an Actress in a Supporting Role in any Motion Picture,Octavia Spencer,Hidden Figures,N
2017,Best Performance by an Actress in a Television Series - Musical or Comedy,Tracee Ellis Ross,Black-ish,W
2017,Best Performance by an Actress in a Television Series - Musical or Comedy,Gina Rodriguez,Jane The Virgin,N
2017,Best Performance by an Actress in a Television Series - Musical or Comedy,Issa Rae,Insecure,N
2017,Best Performance by an Actress in a Television Series - Musical or Comedy,Julia Louis-Dreyfus,Veep,N
2017,Best Performance by an Actress in a Television Series - Musical or Comedy,Rachel Bloom,Crazy Ex-Girlfriend,N
2017,Best Performance by an Actress in a Television Series - Musical or Comedy,Sarah Jessica Parker,Divorce,N
2017,Best Screenplay - Motion Picture,Damien Chazelle,La La Land,W
2017,Best Screenplay - Motion Picture,Barry Jenkins,Moonlight,N
2017,Best Screenplay - Motion Picture,Kenneth Lonergan,Manchester by the Sea,N
2017,Best Screenplay - Motion Picture,Taylor Sheridan,Hell or High Water,N
2017,Best Screenplay - Motion Picture,Tom Ford,Nocturnal Animals,N
2016,Best Director - Motion Picture,Alejandro Iñárritu,The Revenant,W
2016,Best Director - Motion Picture,George Miller,Mad Max:Fury Road,N
2016,Best Director - Motion Picture,Ridley Scott,The Martian,N
2016,Best Director - Motion Picture,Todd Haynes,Carol,N
2016,Best Director - Motion Picture,Tom McCarthy,Spotlight,N
2016,Best Performance by an Actor In A Television Series - Drama,Jon Hamm,Mad Men,W
2016,Best Performance by an Actor In A Television Series - Drama,Bob Odenkirk,Better Call Saul,N
2016,Best Performance by an Actor In A Television Series - Drama,Liev Schreiber,Ray Donovan,N
2016,Best Performance by an Actor In A Television Series - Drama,Rami Malek,Mr. Robot,N
2016,Best Performance by an Actor In A Television Series - Drama,Wagner Moura,Narcos,N
2016,Best Performance by an Actor in a Limited Series or a Motion Picture Made for Television,Oscar Isaac,Show Me a Hero,W
2016,Best Performance by an Actor in a Limited Series or a Motion Picture Made for Television,David Oyelowo,Nightingale,N
2016,Best Performance by an Actor in a Limited Series or a Motion Picture Made for Television,Idris Elba,Luther,N
2016,Best Performance by an Actor in a Limited Series or a Motion Picture Made for Television,Mark Rylance,Wolf Hall,N
2016,Best Performance by an Actor in a Limited Series or a Motion Picture Made for Television,Patrick Wilson,Fargo (TV show),N
2016,Best Performance by an Actor in a Motion Picture - Drama,Leonardo DiCaprio,The Revenant,W
2016,Best Performance by an Actor in a Motion Picture - Drama,Bryan Cranston,Trumbo,N
2016,Best Performance by an Actor in a Motion Picture - Drama,Eddie Redmayne,The Danish Girl,N
2016,Best Performance by an Actor in a Motion Picture - Drama,Michael Fassbender,Steve Jobs,N
2016,Best Performance by an Actor in a Motion Picture - Drama,Will Smith,Concussion,N
2016,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Matt Damon,The Martian,W
2016,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Al Pacino,Danny Collins,N
2016,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Christian Bale,The Big Short,N
2016,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Mark Ruffalo,Infinitely Polar Bear,N
2016,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Steve Carell,The Big Short,N
2016,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Christian Slater,Mr. Robot,W
2016,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Alan Cumming,,N
2016,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Ben Mendelsohn,Bloodline,N
2016,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Damian Lewis,Wolf Hall,N
2016,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Tobias Menzies,Outlander,N
2016,Best Performance by an Actor in a Supporting Role in any Motion Picture,Sylvester Stallone,Creed,W
2016,Best Performance by an Actor in a Supporting Role in any Motion Picture,Idris Elba,Beasts of No Nation,N
2016,Best Performance by an Actor in a Supporting Role in any Motion Picture,Mark Rylance,Bridge of Spies,N
2016,Best Performance by an Actor in a Supporting Role in any Motion Picture,Michael Shannon,99 Homes,N
2016,Best Performance by an Actor in a Supporting Role in any Motion Picture,Paul Dano,Love & Mercy,N
2016,Best Performance by an Actor in a Television Series - Musical or Comedy,Gael García Bernal,Mozart in the Jungle,W
2016,Best Performance by an Actor in a Television Series - Musical or Comedy,Aziz Ansari,Master of None,N
2016,Best Performance by an Actor in a Television Series - Musical or Comedy,Jeffrey Tambor,Transparent,N
2016,Best Performance by an Actor in a Television Series - Musical or Comedy,Patrick Stewart,Blunt Talk,N
2016,Best Performance by an Actor in a Television Series - Musical or Comedy,Rob Lowe,The Grinder,N
2016,Best Performance by an Actress In A Television Series - Drama,Taraji P. Henson,Empire,W
2016,Best Performance by an Actress In A Television Series - Drama,Caitriona Balfe,Outlander,N
2016,Best Performance by an Actress In A Television Series - Drama,Eva Green,Penny Dreadful,N
2016,Best Performance by an Actress In A Television Series - Drama,Robin Wright,House of Cards,N
2016,Best Performance by an Actress In A Television Series - Drama,Viola Davis,How To Get Away With Murder,N
2016,Best Performance by an Actress in a Limited Series or a Motion Picture Made for Television,Lady Gaga,American Horror Story: Hotel,W
2016,Best Performance by an Actress in a Limited Series or a Motion Picture Made for Television,Felicity Huffman,American Crime,N
2016,Best Performance by an Actress in a Limited Series or a Motion Picture Made for Television,Kirsten Dunst,Fargo (TV show),N
2016,Best Performance by an Actress in a Limited Series or a Motion Picture Made for Television,Queen Latifah,Bessie,N
2016,Best Performance by an Actress in a Limited Series or a Motion Picture Made for Television,Sarah Hay,Flesh & Bone,N
2016,Best Performance by an Actress in a Motion Picture - Drama,Brie Larson,Room,W
2016,Best Performance by an Actress in a Motion Picture - Drama,Alicia Vikander,The Danish Girl,N
2016,Best Performance by an Actress in a Motion Picture - Drama,Cate Blanchett,Carol,N
2016,Best Performance by an Actress in a Motion Picture - Drama,Rooney Mara,Carol,N
2016,Best Performance by an Actress in a Motion Picture - Drama,Saoirse Ronan,Brooklyn,N
2016,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Jennifer Lawrence,Joy,W
2016,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Amy Schumer,Trainwreck,N
2016,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Lily Tomlin,Grandma,N
2016,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Maggie Smith,The Lady in the Van,N
2016,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Melissa McCarthy,Spy,N
2016,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Maura Tierney,The Affair,W
2016,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Joanne Froggatt,Downton Abbey,N
2016,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Judith Light,Transparent,N
2016,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Regina King,American Crime,N
2016,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Uzo Aduba,Orange is the New Black,N
2016,Best Performance by an Actress in a Supporting Role in any Motion Picture,Kate Winslet,Steve Jobs,W
2016,Best Performance by an Actress in a Supporting Role in any Motion Picture,Alicia Vikander,Ex Machina,N
2016,Best Performance by an Actress in a Supporting Role in any Motion Picture,Helen Mirren,Trumbo,N
2016,Best Performance by an Actress in a Supporting Role in any Motion Picture,Jane Fonda,Youth,N
2016,Best Performance by an Actress in a Supporting Role in any Motion Picture,Jennifer Jason Leigh,The Hateful Eight,N
2016,Best Performance by an Actress in a Television Series - Musical or Comedy,Rachel Bloom,Crazy Ex-Girlfriend,W
2016,Best Performance by an Actress in a Television Series - Musical or Comedy,Gina Rodriguez,Jane The Virgin,N
2016,Best Performance by an Actress in a Television Series - Musical or Comedy,Jamie Lee Curtis,Scream Queens,N
2016,Best Performance by an Actress in a Television Series - Musical or Comedy,Julia Louis-Dreyfus,Veep,N
2016,Best Performance by an Actress in a Television Series - Musical or Comedy,Lily Tomlin,Grace and Frankie,N
2016,Best Screenplay - Motion Picture,Aaron Sorkin,Steve Jobs,W
2016,Best Screenplay - Motion Picture,Charles Randolph,Adam McKay,N
2016,Best Screenplay - Motion Picture,Emma Donoghue,Room,N
2016,Best Screenplay - Motion Picture,Quentin Tarantino,The Hateful Eight,N
2016,Best Screenplay - Motion Picture,Tom McCarthy,Josh Singer,N
2015,Best Director - Motion Picture,Richard Linklater,Boyhood,W
2015,Best Director - Motion Picture,Alejandro Iñárritu,Birdman,N
2015,Best Director - Motion Picture,Ava DuVernay,Selma,N
2015,Best Director - Motion Picture,David Fincher,Gone Girl,N
2015,Best Director - Motion Picture,Wes Anderson,The Grand Budapest Hotel,N
2015,Best Performance by an Actor In A Television Series - Drama,Kevin Spacey,House of Cards,W
2015,Best Performance by an Actor In A Television Series - Drama,Clive Owen,The Knick,N
2015,Best Performance by an Actor In A Television Series - Drama,Dominic West,The Affair,N
2015,Best Performance by an Actor In A Television Series - Drama,James Spader,The Blacklist,N
2015,Best Performance by an Actor In A Television Series - Drama,Liev Schreiber,Ray Donovan,N
2015,Best Performance by an Actor in a Limited Series or a Motion Picture Made for Television,Billy Bob Thornton,Fargo (TV show),W
2015,Best Performance by an Actor in a Limited Series or a Motion Picture Made for Television,Mark Ruffalo,The Normal Heart,N
2015,Best Performance by an Actor in a Limited Series or a Motion Picture Made for Television,Martin Freeman,Fargo (TV show),N
2015,Best Performance by an Actor in a Limited Series or a Motion Picture Made for Television,Matthew McConaughey,True Detective,N
2015,Best Performance by an Actor in a Limited Series or a Motion Picture Made for Television,Woody Harrelson,True Detective,N
2015,Best Performance by an Actor in a Motion Picture - Drama,Eddie Redmayne,The Theory of Everything,W
2015,Best Performance by an Actor in a Motion Picture - Drama,Benedict Cumberbatch,The Imitation Game,N
2015,Best Performance by an Actor in a Motion Picture - Drama,David Oyelowo,Selma,N
2015,Best Performance by an Actor in a Motion Picture - Drama,Jake Gyllenhaal,Nightcrawler,N
2015,Best Performance by an Actor in a Motion Picture - Drama,Steve Carell,Foxcatcher,N
2015,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Michael Keaton,Birdman,W
2015,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Bill Murray,St. Vincent,N
2015,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Christoph Waltz,Big Eyes,N
2015,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Joaquin Phoenix,Inherent Vice,N
2015,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Ralph Fiennes,The Grand Budapest Hotel,N
2015,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Matt Bomer,The Normal Heart,W
2015,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Alan Cumming,,N
2015,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Bill Murray,Olive Kitteridge,N
2015,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Colin Hanks,Fargo (TV show),N
2015,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Jon Voight,Ray Donovan,N
2015,Best Performance by an Actor in a Supporting Role in any Motion Picture,J.K. Simmons,Whiplash,W
2015,Best Performance by an Actor in a Supporting Role in any Motion Picture,Edward Norton,Birdman,N
2015,Best Performance by an Actor in a Supporting Role in any Motion Picture,Ethan Hawke,Boyhood,N
2015,Best Performance by an Actor in a Supporting Role in any Motion Picture,Mark Ruffalo,Foxcatcher,N
2015,Best Performance by an Actor in a Supporting Role in any Motion Picture,Robert Duvall,The Judge,N
2015,Best Performance by an Actor in a Television Series - Musical or Comedy,Jeffrey Tambor,Transparent,W
2015,Best Performance by an Actor in a Television Series - Musical or Comedy,Don Cheadle,House of Lies,N
2015,Best Performance by an Actor in a Television Series - Musical or Comedy,Louis C.K.,Louie,N
2015,Best Performance by an Actor in a Television Series - Musical or Comedy,Ricky Gervais,Derek,N
2015,Best Performance by an Actor in a Television Series - Musical or Comedy,William H. Macy,Shameless,N
2015,Best Performance by an Actress In A Television Series - Drama,Ruth Wilson,The Affair,W
2015,Best Performance by an Actress In A Television Series - Drama,Claire Danes,Homeland,N
2015,Best Performance by an Actress In A Television Series - Drama,Julianna Margulies,The Good Wife,N
2015,Best Performance by an Actress In A Television Series - Drama,Robin Wright,House of Cards,N
2015,Best Performance by an Actress In A Television Series - Drama,Viola Davis,How To Get Away With Murder,N
2015,Best Performance by an Actress in a Limited Series or a Motion Picture Made for Television,Maggie Gyllenhaal,The Honourable Woman,W
2015,Best Performance by an Actress in a Limited Series or a Motion Picture Made for Television,Allison Tolman,Fargo (TV show),N
