Year,Category,Nominee,Additional Info,Won?
2009,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Laura Dern,Recount,W
2009,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Dianne Wiest,In Treatment,N
2009,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Eileen Atkins,Cranford,N
2009,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Melissa George,In Treatment,N
2009,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Rachel Griffiths,Brothers & Sisters,N
2009,Best Performance by an Actress in a Supporting Role in any Motion Picture,Kate Winslet,The Reader,W
2009,Best Performance by an Actress in a Supporting Role in any Motion Picture,Amy Adams,Doubt,N
2009,Best Performance by an Actress in a Supporting Role in any Motion Picture,Marisa Tomei,The Wrestler,N
2009,Best Performance by an Actress in a Supporting Role in any Motion Picture,Penélope Cruz,Vicky Cristina Barcelona,N
2009,Best Performance by an Actress in a Supporting Role in any Motion Picture,Viola Davis,Doubt,N
2009,Best Performance by an Actress in a Television Series - Musical or Comedy,Tina Fey,30 Rock,W
2009,Best Performance by an Actress in a Television Series - Musical or Comedy,America Ferrera,Ugly Betty,N
2009,Best Performance by an Actress in a Television Series - Musical or Comedy,Christina Applegate,Samantha Who?,N
2009,Best Performance by an Actress in a Television Series - Musical or Comedy,Debra Messing,The Starter Wife,N
2009,Best Performance by an Actress in a Television Series - Musical or Comedy,Mary-Louise Parker,Weeds,N
2009,Best Screenplay - Motion Picture,Simon Beaufoy,Slumdog Millionaire,W
2009,Best Screenplay - Motion Picture,David Hare,The Reader,N
2009,Best Screenplay - Motion Picture,Eric Roth,The Curious Case of Benjamin Button,N
2009,Best Screenplay - Motion Picture,John Patrick Shanley,Doubt,N
2009,Best Screenplay - Motion Picture,Peter Morgan,Frost/Nixon,N
2008,Best Director - Motion Picture,Julian Schnabel,The Diving Bell and the Butterfly,W
2008,Best Director - Motion Picture,Ethan Coen,Joel Coen,N
2008,Best Director - Motion Picture,Joe Wright,Atonement,N
2008,Best Director - Motion Picture,Ridley Scott,American Gangster,N
2008,Best Director - Motion Picture,Tim Burton,Sweeney Todd: The Demon Barber of Fleet Street,N
2008,Best Performance by an Actor In A Television Series - Drama,Jon Hamm,Mad Men,W
2008,Best Performance by an Actor In A Television Series - Drama,Bill Paxton,Big Love,N
2008,Best Performance by an Actor In A Television Series - Drama,Hugh Laurie,House,N
2008,Best Performance by an Actor In A Television Series - Drama,Jonathan Rhys Meyers,The Tudors,N
2008,Best Performance by an Actor In A Television Series - Drama,Michael C. Hall,Dexter,N
2008,Best Performance by an Actor in a Limited Series or a Motion Picture Made for Television,Jim Broadbent,Longford,W
2008,Best Performance by an Actor in a Limited Series or a Motion Picture Made for Television,Adam Beach,Bury My Heart at Wounded Knee,N
2008,Best Performance by an Actor in a Limited Series or a Motion Picture Made for Television,Ernest Borgnine,"Grandpa for Christmas, A",N
2008,Best Performance by an Actor in a Limited Series or a Motion Picture Made for Television,James Nesbitt,Jekyll,N
2008,Best Performance by an Actor in a Limited Series or a Motion Picture Made for Television,Jason Isaacs,The State Within,N
2008,Best Performance by an Actor in a Motion Picture - Drama,Daniel Day-Lewis,There Will Be Blood,W
2008,Best Performance by an Actor in a Motion Picture - Drama,Denzel Washington,American Gangster,N
2008,Best Performance by an Actor in a Motion Picture - Drama,George Clooney,Michael Clayton,N
2008,Best Performance by an Actor in a Motion Picture - Drama,James McAvoy,Atonement,N
2008,Best Performance by an Actor in a Motion Picture - Drama,Viggo Mortensen,Eastern Promises,N
2008,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Johnny Depp,Sweeney Todd: The Demon Barber of Fleet Street,W
2008,Best Performance by an Actor in a Motion Picture - Musical or Comedy,John C. Reilly,Walk Hard: The Dewey Cox Story,N
2008,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Philip Seymour Hoffman,The Savages,N
2008,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Ryan Gosling,Lars and the Real Girl,N
2008,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Tom Hanks,Charlie Wilson's War,N
2008,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Jeremy Piven,Entourage,W
2008,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Andy Serkis,Longford,N
2008,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Donald Sutherland,Dirty Sexy Money,N
2008,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Kevin Dillon,Entourage,N
2008,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Ted Danson,Damages,N
2008,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",William Shatner,Boston Legal,N
2008,Best Performance by an Actor in a Supporting Role in any Motion Picture,Javier Bardem,No Country for Old Men,W
2008,Best Performance by an Actor in a Supporting Role in any Motion Picture,Casey Affleck,The Assassination of Jesse James by the Coward Robert Ford,N
2008,Best Performance by an Actor in a Supporting Role in any Motion Picture,John Travolta,Hairspray,N
2008,Best Performance by an Actor in a Supporting Role in any Motion Picture,Philip Seymour Hoffman,Charlie Wilson's War,N
2008,Best Performance by an Actor in a Supporting Role in any Motion Picture,Tom Wilkinson,Michael Clayton,N
2008,Best Performance by an Actor in a Television Series - Musical or Comedy,David Duchovny,Californication,W
2008,Best Performance by an Actor in a Television Series - Musical or Comedy,Alec Baldwin,30 Rock,N
2008,Best Performance by an Actor in a Television Series - Musical or Comedy,Lee Pace,Pushing Daisies,N
2008,Best Performance by an Actor in a Television Series - Musical or Comedy,Ricky Gervais,Extras,N
2008,Best Performance by an Actor in a Television Series - Musical or Comedy,Steve Carell,The Office,N
2008,Best Performance by an Actress In A Television Series - Drama,Glenn Close,Damages,W
2008,Best Performance by an Actress In A Television Series - Drama,Edie Falco,The Sopranos,N
2008,Best Performance by an Actress In A Television Series - Drama,Holly Hunter,Saving Grace,N
2008,Best Performance by an Actress In A Television Series - Drama,Kyra Sedgwick,The Closer,N
2008,Best Performance by an Actress In A Television Series - Drama,Minnie Driver,The Riches,N
2008,Best Performance by an Actress In A Television Series - Drama,Patricia Arquette,Medium,N
2008,Best Performance by an Actress In A Television Series - Drama,Sally Field,Brothers & Sisters,N
2008,Best Performance by an Actress in a Limited Series or a Motion Picture Made for Television,Queen Latifah,Life Support,W
2008,Best Performance by an Actress in a Limited Series or a Motion Picture Made for Television,Bryce Dallas Howard,As You Like It,N
2008,Best Performance by an Actress in a Limited Series or a Motion Picture Made for Television,Debra Messing,The Starter Wife,N
2008,Best Performance by an Actress in a Limited Series or a Motion Picture Made for Television,Ruth Wilson,Jane Eyre,N
2008,Best Performance by an Actress in a Limited Series or a Motion Picture Made for Television,Sissy Spacek,Pictures Of Hollis Woods,N
2008,Best Performance by an Actress in a Motion Picture - Drama,Julie Christie,Away From Her,W
2008,Best Performance by an Actress in a Motion Picture - Drama,Angelina Jolie,"Mighty Heart, A",N
2008,Best Performance by an Actress in a Motion Picture - Drama,Cate Blanchett,Elizabeth:  The Golden Age,N
2008,Best Performance by an Actress in a Motion Picture - Drama,Jodie Foster,The Brave One,N
2008,Best Performance by an Actress in a Motion Picture - Drama,Keira Knightley,Atonement,N
2008,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Marion Cotillard,La Vie En Rose,W
2008,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Amy Adams,Enchanted,N
2008,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Ellen Page,Juno,N
2008,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Helena Bonham Carter,Sweeney Todd: The Demon Barber of Fleet Street,N
2008,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Nikki Blonsky,Hairspray,N
2008,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Samantha Morton,Longford,W
2008,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Anna Paquin,Bury My Heart at Wounded Knee,N
2008,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Jaime Pressly,My Name Is Earl,N
2008,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Katherine Heigl,Grey's Anatomy,N
2008,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Rachel Griffiths,Brothers & Sisters,N
2008,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Rose Byrne,Damages,N
2008,Best Performance by an Actress in a Supporting Role in any Motion Picture,Cate Blanchett,I'm Not There,W
2008,Best Performance by an Actress in a Supporting Role in any Motion Picture,Amy Ryan,Gone Baby Gone,N
2008,Best Performance by an Actress in a Supporting Role in any Motion Picture,Julia Roberts,Charlie Wilson's War,N
2008,Best Performance by an Actress in a Supporting Role in any Motion Picture,Saoirse Ronan,Atonement,N
2008,Best Performance by an Actress in a Supporting Role in any Motion Picture,Tilda Swinton,Michael Clayton,N
2008,Best Performance by an Actress in a Television Series - Musical or Comedy,Tina Fey,30 Rock,W
2008,Best Performance by an Actress in a Television Series - Musical or Comedy,America Ferrera,Ugly Betty,N
2008,Best Performance by an Actress in a Television Series - Musical or Comedy,Anna Friel,Pushing Daisies,N
2008,Best Performance by an Actress in a Television Series - Musical or Comedy,Christina Applegate,Samantha Who?,N
2008,Best Performance by an Actress in a Television Series - Musical or Comedy,Mary-Louise Parker,Weeds,N
2008,Best Screenplay - Motion Picture,Joel Coen,Ethan Coen,W
2008,Best Screenplay - Motion Picture,Aaron Sorkin,Charlie Wilson's War,N
2008,Best Screenplay - Motion Picture,Christopher Hampton,Atonement,N
2008,Best Screenplay - Motion Picture,Diablo Cody,Juno,N
2008,Best Screenplay - Motion Picture,Ronald Harwood,The Diving Bell and the Butterfly,N
2007,Best Director - Motion Picture,Martin Scorsese,The Departed,W
2007,Best Director - Motion Picture,Alejandro Iñárritu,Babel,N
2007,Best Director - Motion Picture,Clint Eastwood,Flags of Our Fathers,N
2007,Best Director - Motion Picture,Clint Eastwood,Letters From Iwo Jima,N
2007,Best Director - Motion Picture,Stephen Frears,The Queen,N
2007,Best Performance by an Actor In A Television Series - Drama,Hugh Laurie,House,W
2007,Best Performance by an Actor In A Television Series - Drama,Bill Paxton,Big Love,N
2007,Best Performance by an Actor In A Television Series - Drama,Kiefer Sutherland,24,N
2007,Best Performance by an Actor In A Television Series - Drama,Michael C. Hall,Dexter,N
2007,Best Performance by an Actor In A Television Series - Drama,Patrick Dempsey,Grey's Anatomy,N
2007,Best Performance by an Actor in a Limited Series or a Motion Picture Made for Television,Bill Nighy,Gideon's Daughter,W
2007,Best Performance by an Actor in a Limited Series or a Motion Picture Made for Television,André Braugher,Thief,N
2007,Best Performance by an Actor in a Limited Series or a Motion Picture Made for Television,Ben Kingsley,Mrs. Harris,N
2007,Best Performance by an Actor in a Limited Series or a Motion Picture Made for Television,Chiwetel Ejiofor,"Tsunami, The Aftermath",N
2007,Best Performance by an Actor in a Limited Series or a Motion Picture Made for Television,Matthew Perry,The Ron Clark Story,N
2007,Best Performance by an Actor in a Limited Series or a Motion Picture Made for Television,Michael Ealy,Sleeper Cell,N
2007,Best Performance by an Actor in a Limited Series or a Motion Picture Made for Television,Robert Duvall,Broken Trail,N
2007,Best Performance by an Actor in a Motion Picture - Drama,Forest Whitaker,The Last King of Scotland,W
2007,Best Performance by an Actor in a Motion Picture - Drama,Leonardo DiCaprio,Blood Diamond,N
2007,Best Performance by an Actor in a Motion Picture - Drama,Leonardo DiCaprio,The Departed,N
2007,Best Performance by an Actor in a Motion Picture - Drama,Peter O'Toole,Venus,N
2007,Best Performance by an Actor in a Motion Picture - Drama,Will Smith,The Pursuit of Happyness,N
2007,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Sacha Baron Cohen,Borat: Cultural Learnings Of America For Make Benefit Glorious Nation Of Kazakhstan,W
2007,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Aaron Eckhart,Thank You For Smoking,N
2007,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Chiwetel Ejiofor,Kinky Boots,N
2007,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Johnny Depp,Pirates of the Caribbean: Dead Man's Chest,N
2007,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Will Ferrell,Stranger Than Fiction,N
2007,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Jeremy Irons,Elizabeth I,W
2007,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Jeremy Piven,Entourage,N
2007,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Justin Kirk,Weeds,N
2007,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Masi Oka,Heroes,N
2007,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Thomas Haden Church,Broken Trail,N
2007,Best Performance by an Actor in a Supporting Role in any Motion Picture,Eddie Murphy,Dreamgirls,W
2007,Best Performance by an Actor in a Supporting Role in any Motion Picture,Ben Affleck,Hollywoodland,N
2007,Best Performance by an Actor in a Supporting Role in any Motion Picture,Brad Pitt,Babel,N
2007,Best Performance by an Actor in a Supporting Role in any Motion Picture,Jack Nicholson,The Departed,N
2007,Best Performance by an Actor in a Supporting Role in any Motion Picture,Mark Wahlberg,The Departed,N
2007,Best Performance by an Actor in a Television Series - Musical or Comedy,Alec Baldwin,30 Rock,W
2007,Best Performance by an Actor in a Television Series - Musical or Comedy,Jason Lee,My Name Is Earl,N
2007,Best Performance by an Actor in a Television Series - Musical or Comedy,Steve Carell,The Office,N
2007,Best Performance by an Actor in a Television Series - Musical or Comedy,Tony Shalhoub,Monk,N
2007,Best Performance by an Actor in a Television Series - Musical or Comedy,Zach Braff,Scrubs,N
2007,Best Performance by an Actress In A Television Series - Drama,Kyra Sedgwick,The Closer,W
2007,Best Performance by an Actress In A Television Series - Drama,Edie Falco,The Sopranos,N
2007,Best Performance by an Actress In A Television Series - Drama,Ellen Pompeo,Grey's Anatomy,N
2007,Best Performance by an Actress In A Television Series - Drama,Evangeline Lilly,Lost,N
2007,Best Performance by an Actress In A Television Series - Drama,Patricia Arquette,Medium,N
2007,Best Performance by an Actress in a Limited Series or a Motion Picture Made for Television,Helen Mirren,Elizabeth I,W
2007,Best Performance by an Actress in a Limited Series or a Motion Picture Made for Television,Annette Bening,Mrs. Harris,N
2007,Best Performance by an Actress in a Limited Series or a Motion Picture Made for Television,Gillian Anderson,Bleak House,N
2007,Best Performance by an Actress in a Limited Series or a Motion Picture Made for Television,Helen Mirren,Prime Suspect: The Final Act,N
2007,Best Performance by an Actress in a Limited Series or a Motion Picture Made for Television,Sophie Okonedo,"Tsunami, The Aftermath",N
2007,Best Performance by an Actress in a Motion Picture - Drama,Helen Mirren,The Queen,W
2007,Best Performance by an Actress in a Motion Picture - Drama,Judi Dench,Notes On a Scandal,N
2007,Best Performance by an Actress in a Motion Picture - Drama,Kate Winslet,Little Children,N
2007,Best Performance by an Actress in a Motion Picture - Drama,Maggie Gyllenhaal,Sherrybaby,N
2007,Best Performance by an Actress in a Motion Picture - Drama,Penélope Cruz,Volver,N
2007,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Meryl Streep,The Devil Wears Prada,W
2007,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Annette Bening,Running With Scissors,N
2007,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Beyoncé Knowles,Dreamgirls,N
2007,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Renée Zellweger,Miss Potter,N
2007,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Toni Collette,Little Miss Sunshine,N
2007,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Emily Blunt,Gideon's Daughter,W
2007,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Elizabeth Perkins,Weeds,N
2007,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Katherine Heigl,Grey's Anatomy,N
2007,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Sarah Paulson,Studio 60 on the Sunset Strip,N
2007,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Toni Collette,"Tsunami, The Aftermath",N
2007,Best Performance by an Actress in a Supporting Role in any Motion Picture,Jennifer Hudson,Dreamgirls,W
2007,Best Performance by an Actress in a Supporting Role in any Motion Picture,Adriana Barraza,Babel,N
2007,Best Performance by an Actress in a Supporting Role in any Motion Picture,Cate Blanchett,Notes On a Scandal,N
2007,Best Performance by an Actress in a Supporting Role in any Motion Picture,Emily Blunt,The Devil Wears Prada,N
2007,Best Performance by an Actress in a Supporting Role in any Motion Picture,Rinko Kikuchi,Babel,N
2007,Best Performance by an Actress in a Television Series - Musical or Comedy,America Ferrera,Ugly Betty,W
2007,Best Performance by an Actress in a Television Series - Musical or Comedy,Felicity Huffman,Desperate Housewives,N
2007,Best Performance by an Actress in a Television Series - Musical or Comedy,Julia Louis-Dreyfus,The New Adventures Of Old Christine,N
2007,Best Performance by an Actress in a Television Series - Musical or Comedy,Marcia Cross,Desperate Housewives,N
2007,Best Performance by an Actress in a Television Series - Musical or Comedy,Mary-Louise Parker,Weeds,N
2007,Best Screenplay - Motion Picture,Peter Morgan,The Queen,W
2007,Best Screenplay - Motion Picture,Guillermo Arriaga,Babel,N
2007,Best Screenplay - Motion Picture,Patrick Marber,Notes On a Scandal,N
2007,Best Screenplay - Motion Picture,Todd Field,Tom Perrotta,N
2007,Best Screenplay - Motion Picture,William Monahan,The Departed,N
2006,Best Director - Motion Picture,Ang Lee,Brokeback Mountain,W
2006,Best Director - Motion Picture,Fernando Meirelles,The Constant Gardener,N
2006,Best Director - Motion Picture,George Clooney,"Good Night, and Good Luck",N
2006,Best Director - Motion Picture,Peter Jackson,King Kong (2005),N
2006,Best Director - Motion Picture,Steven Spielberg,Munich,N
2006,Best Director - Motion Picture,Woody Allen,Match Point,N
2006,Best Performance by an Actor In A Television Series - Drama,Hugh Laurie,House,W
2006,Best Performance by an Actor In A Television Series - Drama,Kiefer Sutherland,24,N
2006,Best Performance by an Actor In A Television Series - Drama,Matthew Fox,Lost,N
2006,Best Performance by an Actor In A Television Series - Drama,Patrick Dempsey,Grey's Anatomy,N
2006,Best Performance by an Actor In A Television Series - Drama,Wentworth Miller,Prison Break,N
2006,Best Performance by an Actor in a Limited Series or a Motion Picture Made for Television,Jonathan Rhys Meyers,Elvis,W
2006,Best Performance by an Actor in a Limited Series or a Motion Picture Made for Television,Bill Nighy,The Girl In The Café,N
2006,Best Performance by an Actor in a Limited Series or a Motion Picture Made for Television,Donald Sutherland,Human Trafficking,N
2006,Best Performance by an Actor in a Limited Series or a Motion Picture Made for Television,Ed Harris,Empire Falls,N
2006,Best Performance by an Actor in a Limited Series or a Motion Picture Made for Television,Kenneth Branagh,Warm Springs,N
2006,Best Performance by an Actor in a Motion Picture - Drama,Philip Seymour Hoffman,Capote,W
2006,Best Performance by an Actor in a Motion Picture - Drama,David Strathairn,"Good Night, and Good Luck",N
2006,Best Performance by an Actor in a Motion Picture - Drama,Heath Ledger,Brokeback Mountain,N
2006,Best Performance by an Actor in a Motion Picture - Drama,Russell Crowe,Cinderella Man,N
2006,Best Performance by an Actor in a Motion Picture - Drama,Terrence Howard,Hustle & Flow,N
2006,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Joaquin Phoenix,Walk The Line,W
2006,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Cillian Murphy,Breakfast On Pluto,N
2006,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Jeff Daniels,The Squid and the Whale,N
2006,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Johnny Depp,Charlie and the Chocolate Factory,N
2006,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Nathan Lane,The Producers,N
2006,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Pierce Brosnan,The Matador,N
2006,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Paul Newman,Empire Falls,W
2006,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Donald Sutherland,Commander in Chief,N
2006,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Jeremy Piven,Entourage,N
2006,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Naveen Andrews,Lost,N
2006,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Randy Quaid,Elvis,N
2006,Best Performance by an Actor in a Supporting Role in any Motion Picture,George Clooney,Syriana,W
2006,Best Performance by an Actor in a Supporting Role in any Motion Picture,Bob Hoskins,Mrs. Henderson Presents,N
2006,Best Performance by an Actor in a Supporting Role in any Motion Picture,Matt Dillon,Crash,N
2006,Best Performance by an Actor in a Supporting Role in any Motion Picture,Paul Giamatti,Cinderella Man,N
2006,Best Performance by an Actor in a Supporting Role in any Motion Picture,Will Ferrell,The Producers,N
2006,Best Performance by an Actor in a Television Series - Musical or Comedy,Steve Carell,The Office,W
2006,Best Performance by an Actor in a Television Series - Musical or Comedy,Charlie Sheen,Two and a Half Men,N
2006,Best Performance by an Actor in a Television Series - Musical or Comedy,Jason Lee,My Name Is Earl,N
2006,Best Performance by an Actor in a Television Series - Musical or Comedy,Larry David,Curb Your Enthusiasm,N
2006,Best Performance by an Actor in a Television Series - Musical or Comedy,Zach Braff,Scrubs,N
2006,Best Performance by an Actress In A Television Series - Drama,Geena Davis,Commander in Chief,W
2006,Best Performance by an Actress In A Television Series - Drama,Glenn Close,The Shield,N
2006,Best Performance by an Actress In A Television Series - Drama,Kyra Sedgwick,The Closer,N
2006,Best Performance by an Actress In A Television Series - Drama,Patricia Arquette,Medium,N
2006,Best Performance by an Actress In A Television Series - Drama,Polly Walker,Rome,N
2006,Best Performance by an Actress in a Limited Series or a Motion Picture Made for Television,S. Epatha Merkerson,Lackawanna Blues,W
2006,Best Performance by an Actress in a Limited Series or a Motion Picture Made for Television,Cynthia Nixon,Warm Springs,N
2006,Best Performance by an Actress in a Limited Series or a Motion Picture Made for Television,Halle Berry,Their Eyes Were Watching God,N
2006,Best Performance by an Actress in a Limited Series or a Motion Picture Made for Television,Kelly MacDonald,The Girl In The Café,N
2006,Best Performance by an Actress in a Limited Series or a Motion Picture Made for Television,Mira Sorvino,Human Trafficking,N
2006,Best Performance by an Actress in a Motion Picture - Drama,Felicity Huffman,Transamerica,W
2006,Best Performance by an Actress in a Motion Picture - Drama,Charlize Theron,North Country,N
2006,Best Performance by an Actress in a Motion Picture - Drama,Gwyneth Paltrow,Proof,N
2006,Best Performance by an Actress in a Motion Picture - Drama,Maria Bello,A History of Violence,N
2006,Best Performance by an Actress in a Motion Picture - Drama,Ziyi Zhang,Memoirs of a Geisha,N
2006,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Reese Witherspoon,Walk The Line,W
2006,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Judi Dench,Mrs. Henderson Presents,N
2006,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Keira Knightley,Pride & Prejudice,N
2006,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Laura Linney,The Squid and the Whale,N
2006,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Sarah Jessica Parker,The Family Stone,N
2006,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Sandra Oh,Grey's Anatomy,W
2006,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Camryn Manheim,Elvis,N
2006,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Candice Bergen,Boston Legal,N
2006,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Elizabeth Perkins,Weeds,N
2006,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Joanne Woodward,Empire Falls,N
2006,Best Performance by an Actress in a Supporting Role in any Motion Picture,Rachel Weisz,The Constant Gardener,W
2006,Best Performance by an Actress in a Supporting Role in any Motion Picture,Frances McDormand,North Country,N
2006,Best Performance by an Actress in a Supporting Role in any Motion Picture,Michelle Williams,Brokeback Mountain,N
2006,Best Performance by an Actress in a Supporting Role in any Motion Picture,Scarlett Johansson,Match Point,N
2006,Best Performance by an Actress in a Supporting Role in any Motion Picture,Shirley MacLaine,In Her Shoes,N
2006,Best Performance by an Actress in a Television Series - Musical or Comedy,Mary-Louise Parker,Weeds,W
2006,Best Performance by an Actress in a Television Series - Musical or Comedy,Eva Longoria,Desperate Housewives,N
2006,Best Performance by an Actress in a Television Series - Musical or Comedy,Felicity Huffman,Desperate Housewives,N
2006,Best Performance by an Actress in a Television Series - Musical or Comedy,Marcia Cross,Desperate Housewives,N
2006,Best Performance by an Actress in a Television Series - Musical or Comedy,Teri Hatcher,Desperate Housewives,N
2006,Best Screenplay - Motion Picture,"Larry McMurtry, Diana Ossana",Brokeback Mountain,W
2006,Best Screenplay - Motion Picture,George Clooney,"Good Night, and Good Luck",N
2006,Best Screenplay - Motion Picture,Paul Haggis,Crash,N
2006,Best Screenplay - Motion Picture,Tony Kushner,Munich,N
2006,Best Screenplay - Motion Picture,Woody Allen,Match Point,N
2005,Best Director - Motion Picture,Clint Eastwood,Million Dollar Baby,W
2005,Best Director - Motion Picture,Alexander Payne,Sideways,N
2005,Best Director - Motion Picture,Marc Forster,Finding Neverland,N
2005,Best Director - Motion Picture,Martin Scorsese,The Aviator,N
2005,Best Director - Motion Picture,Mike Nichols,Closer,N
2005,Best Performance by an Actor In A Television Series - Drama,Ian McShane,Deadwood,W
2005,Best Performance by an Actor In A Television Series - Drama,Denis Leary,Rescue Me,N
2005,Best Performance by an Actor In A Television Series - Drama,James Spader,Boston Legal,N
2005,Best Performance by an Actor In A Television Series - Drama,Julian McMahon,Nip/Tuck,N
2005,Best Performance by an Actor In A Television Series - Drama,Michael Chiklis,The Shield,N
2005,Best Performance by an Actor in a Limited Series or a Motion Picture Made for Television,Geoffrey Rush,The Life and Death of Peter Sellers,W
2005,Best Performance by an Actor in a Limited Series or a Motion Picture Made for Television,Jamie Foxx,Redemption,N
2005,Best Performance by an Actor in a Limited Series or a Motion Picture Made for Television,Mos Def,Something the Lord Made,N
2005,Best Performance by an Actor in a Limited Series or a Motion Picture Made for Television,Patrick Stewart,The Lion In Winter (2004),N
2005,Best Performance by an Actor in a Limited Series or a Motion Picture Made for Television,William H. Macy,The Wool Cap,N
2005,Best Performance by an Actor in a Motion Picture - Drama,Leonardo DiCaprio,The Aviator,W
2005,Best Performance by an Actor in a Motion Picture - Drama,Don Cheadle,Hotel Rwanda,N
2005,Best Performance by an Actor in a Motion Picture - Drama,Javier Bardem,The Sea Inside,N
2005,Best Performance by an Actor in a Motion Picture - Drama,Johnny Depp,Finding Neverland,N
2005,Best Performance by an Actor in a Motion Picture - Drama,Liam Neeson,Kinsey,N
2005,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Jamie Foxx,Ray,W
2005,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Jim Carrey,Eternal Sunshine of The Spotless Mind,N
2005,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Kevin Kline,De-Lovely,N
2005,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Kevin Spacey,Beyond the Sea,N
